x,y,Angle,Point,x1,y1
0.3 , 0.3 , 0 , 0.00329999996 , 0.29999999999999993 , 0.3033000090000001
0.3 , 0.3 , 45 , 0.00414285711904762 , 0.3029294495238095 , 0.3029294495238095
0.3 , 0.3 , 90 , 0.003761904752380952 , 0.3037619171428571 , 0.29999999999999993
0.3 , 0.3 , 135 , 0.0037142857047619054 , 0.30262640095238097 , 0.29737361714285715
0.3 , 0.3 , 180 , 0.004333333323809524 , 0.29999999999999993 , 0.2956666685714285
0.3 , 0.3 , 225 , 0.005142857114285716 , 0.296363460952381 , 0.296363460952381
0.3 , 0.3 , 270 , 0.003190476152380952 , 0.29680952666666666 , 0.29999999999999993
0.3 , 0.3 , 315 , 0.003285714276190476 , 0.2976766628571429 , 0.3023233590476191
0.4 , 0.4 , 0 , 0.00833333313809524 , 0.4000000000000001 , 0.40833333904761904
0.4 , 0.4 , 45 , 0.028842105526315796 , 0.4203944557894738 , 0.4203944557894738
0.4 , 0.4 , 90 , 0.006399999995000001 , 0.40640001000000014 , 0.4000000000000001
0.4 , 0.4 , 135 , 0.006149999950000002 , 0.4043487089999999 , 0.395651306
0.4 , 0.4 , 180 , 0.00866666666666667 , 0.4000000000000001 , 0.3913333333333333
0.4 , 0.4 , 225 , 0.022200000100000006 , 0.384302237 , 0.384302237
0.4 , 0.4 , 270 , 0.0050952380476190495 , 0.3949047647619047 , 0.4000000000000001
0.4 , 0.4 , 315 , 0.005142857095238098 , 0.3963634642857142 , 0.40363654904761903
0.35 , 0.42 , 0 , 0.013157894578947373 , 0.34999999999999987 , 0.433157884736842
0.35 , 0.42 , 45 , 0.01052941173529412 , 0.3574454094117647 , 0.4274454035294118
0.35 , 0.42 , 90 , 0.0037499999950000007 , 0.35374999500000004 , 0.42000000000000004
0.35 , 0.42 , 135 , 0.004049999984999999 , 0.352863769 , 0.4171362145
0.35 , 0.42 , 180 , 0.007666666523809525 , 0.34999999999999987 , 0.41233333142857137
0.35 , 0.42 , 225 , 0.011949999900000003 , 0.34155007299999995 , 0.41155006299999997
0.35 , 0.42 , 270 , 0.006449999950000002 , 0.343549993 , 0.42000000000000004
0.35 , 0.42 , 315 , 0.007238095190476192 , 0.3448818976190477 , 0.42511808857142863
